Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,CP_EIA-3528-12_Kemet-T,183.79,-98,180,top
C2,100n,C_0603_1608Metric,182.268,-92.5725,90,top
C3,100p,C_0603_1608Metric,180.746,-92.5725,270,top
C4,100p,C_0603_1608Metric,179.224,-92.5725,270,top
R1,10k,R_0603_1608Metric,177.702,-92.5725,270,top
R2,10k,R_0603_1608Metric,176.18,-92.5725,270,top
U17,TM1640,SOIC-28,195.7,-91.97,180,top
